MAE_QR,MAE_DL,MAE_MULTI,RMSE_QR,RMSE_DL,RMSE_MULTI,C_LOSS_QR,C_LOSS_DL,C_LOSS_MULTI,CROSSES_QR,CROSSES_DL,CROSSES_MULTI,T_LOSS_QR,T_LOSS_DL,T_LOSS_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI
2.183,1.854,1.810,3.950,3.579,3.556,0.351,7.419,0.000,18942,511107,0,136.063,110.123,110.134,0.920,0.926,0.938,10.763,8.170,8.378,0.829,0.795,0.853,6.294,5.714,5.994,0.733,0.704,0.760,4.365,4.401,4.651,0.636,0.639,0.661,3.232,3.707,3.684,0.536,0.524,0.560,2.439,2.813,2.905,0.433,0.416,0.454,1.821,2.175,2.236,0.326,0.277,0.343,1.303,1.459,1.629,0.219,0.150,0.231,0.844,0.818,1.069,0.111,0.096,0.117,0.412,0.450,0.530,
2.183,1.844,1.815,3.950,3.576,3.556,0.351,8.831,0.000,18942,562125,0,136.063,110.285,110.076,0.920,0.900,0.935,10.763,7.840,8.280,0.829,0.832,0.850,6.294,5.986,5.918,0.733,0.707,0.758,4.365,4.474,4.596,0.636,0.645,0.657,3.232,3.719,3.625,0.536,0.547,0.552,2.439,2.882,2.850,0.433,0.399,0.444,1.821,2.137,2.193,0.326,0.331,0.336,1.303,1.602,1.600,0.219,0.185,0.224,0.844,0.999,1.046,0.111,0.127,0.111,0.412,0.594,0.515,
2.183,1.845,1.822,3.950,3.575,3.553,0.351,8.376,0.000,18942,530822,0,136.063,110.282,110.010,0.920,0.913,0.929,10.763,8.119,8.154,0.829,0.833,0.834,6.294,6.048,5.784,0.733,0.733,0.735,4.365,4.572,4.470,0.636,0.649,0.638,3.232,3.680,3.564,0.536,0.531,0.535,2.439,2.831,2.817,0.433,0.405,0.430,1.821,2.044,2.151,0.326,0.315,0.321,1.303,1.545,1.570,0.219,0.211,0.214,0.844,1.034,1.030,0.111,0.156,0.107,0.412,0.641,0.509,
2.183,1.854,1.801,3.950,3.583,3.554,0.351,7.759,0.000,18942,510499,0,136.063,110.170,110.094,0.920,0.901,0.939,10.763,8.001,8.380,0.829,0.815,0.856,6.294,5.771,6.000,0.733,0.683,0.763,4.365,4.314,4.633,0.636,0.623,0.663,3.232,3.636,3.665,0.536,0.521,0.559,2.439,2.798,2.873,0.433,0.386,0.453,1.821,2.039,2.214,0.326,0.315,0.344,1.303,1.555,1.614,0.219,0.175,0.231,0.844,0.902,1.058,0.111,0.111,0.117,0.412,0.552,0.528,
2.183,1.883,1.814,3.950,3.594,3.561,0.351,7.979,0.000,18942,555921,0,136.063,110.269,110.277,0.920,0.900,0.934,10.763,7.811,8.200,0.829,0.827,0.846,6.294,5.881,5.867,0.733,0.669,0.754,4.365,4.178,4.553,0.636,0.649,0.649,3.232,3.673,3.604,0.536,0.469,0.544,2.439,2.577,2.826,0.433,0.427,0.441,1.821,2.148,2.176,0.326,0.336,0.334,1.303,1.613,1.595,0.219,0.222,0.226,0.844,1.103,1.053,0.111,0.084,0.113,0.412,0.444,0.515,
2.183,1.852,1.811,3.950,3.582,3.552,0.351,7.471,0.000,18942,507543,0,136.063,110.147,110.008,0.920,0.903,0.935,10.763,7.805,8.272,0.829,0.806,0.849,6.294,5.676,5.897,0.733,0.720,0.755,4.365,4.499,4.581,0.636,0.592,0.654,3.232,3.478,3.607,0.536,0.508,0.548,2.439,2.669,2.827,0.433,0.432,0.441,1.821,2.258,2.166,0.326,0.302,0.331,1.303,1.516,1.573,0.219,0.225,0.221,0.844,1.071,1.032,0.111,0.087,0.110,0.412,0.466,0.509,
2.183,1.852,1.809,3.950,3.581,3.554,0.351,6.876,0.000,18942,496863,0,136.063,110.241,109.977,0.920,0.904,0.932,10.763,7.918,8.219,0.829,0.790,0.842,6.294,5.561,5.848,0.733,0.690,0.745,4.365,4.334,4.528,0.636,0.596,0.643,3.232,3.477,3.573,0.536,0.476,0.543,2.439,2.689,2.823,0.433,0.406,0.435,1.821,2.161,2.159,0.326,0.338,0.331,1.303,1.677,1.581,0.219,0.195,0.221,0.844,0.964,1.033,0.111,0.064,0.111,0.412,0.380,0.518,
2.183,1.848,1.815,3.950,3.584,3.550,0.351,8.793,0.000,18942,555701,0,136.063,110.090,109.886,0.920,0.918,0.929,10.763,7.994,8.084,0.829,0.784,0.841,6.294,5.607,5.792,0.733,0.727,0.745,4.365,4.553,4.492,0.636,0.596,0.647,3.232,3.471,3.579,0.536,0.485,0.547,2.439,2.678,2.824,0.433,0.378,0.444,1.821,1.986,2.178,0.326,0.347,0.334,1.303,1.703,1.585,0.219,0.186,0.228,0.844,0.945,1.045,0.111,0.126,0.117,0.412,0.587,0.525,
2.183,1.867,1.821,3.950,3.582,3.553,0.351,7.397,0.000,18942,512046,0,136.063,110.259,110.264,0.920,0.895,0.931,10.763,7.789,8.170,0.829,0.788,0.841,6.294,5.663,5.835,0.733,0.731,0.744,4.365,4.535,4.539,0.636,0.609,0.642,3.232,3.525,3.591,0.536,0.532,0.541,2.439,2.905,2.833,0.433,0.421,0.436,1.821,2.094,2.181,0.326,0.317,0.329,1.303,1.582,1.590,0.219,0.274,0.217,0.844,1.192,1.027,0.111,0.104,0.109,0.412,0.529,0.510,
2.183,1.856,1.818,3.950,3.586,3.558,0.351,8.021,0.000,18942,516030,0,136.063,110.126,110.140,0.920,0.906,0.936,10.763,7.975,8.389,0.829,0.803,0.852,6.294,5.654,6.007,0.733,0.702,0.757,4.365,4.457,4.649,0.636,0.634,0.658,3.232,3.643,3.684,0.536,0.505,0.555,2.439,2.761,2.897,0.433,0.433,0.448,1.821,2.253,2.225,0.326,0.293,0.338,1.303,1.490,1.620,0.219,0.113,0.226,0.844,0.679,1.057,0.111,0.142,0.114,0.412,0.662,0.522,
2.183,1.874,1.799,3.950,3.586,3.555,0.351,7.723,0.000,18942,512872,0,136.063,110.134,109.948,0.920,0.892,0.935,10.763,7.742,8.253,0.829,0.794,0.851,6.294,5.558,5.903,0.733,0.704,0.758,4.365,4.363,4.573,0.636,0.585,0.661,3.232,3.395,3.635,0.536,0.527,0.561,2.439,2.833,2.880,0.433,0.405,0.455,1.821,2.071,2.218,0.326,0.311,0.345,1.303,1.570,1.620,0.219,0.242,0.230,0.844,1.123,1.055,0.111,0.120,0.117,0.412,0.554,0.528,
2.183,1.828,1.806,3.950,3.574,3.552,0.351,8.021,0.000,18942,530435,0,136.063,110.221,109.948,0.920,0.917,0.937,10.763,8.234,8.245,0.829,0.812,0.853,6.294,5.680,5.914,0.733,0.742,0.763,4.365,4.641,4.604,0.636,0.589,0.662,3.232,3.429,3.639,0.536,0.514,0.559,2.439,2.780,2.868,0.433,0.407,0.451,1.821,2.151,2.206,0.326,0.266,0.341,1.303,1.353,1.604,0.219,0.176,0.229,0.844,0.912,1.051,0.111,0.059,0.119,0.412,0.370,0.532,
2.183,1.831,1.803,3.950,3.578,3.557,0.351,7.166,0.000,18942,502497,0,136.063,110.172,109.996,0.920,0.894,0.933,10.763,7.655,8.147,0.829,0.813,0.848,6.294,5.795,5.832,0.733,0.719,0.752,4.365,4.543,4.505,0.636,0.586,0.651,3.232,3.342,3.557,0.536,0.513,0.550,2.439,2.751,2.808,0.433,0.436,0.448,1.821,2.178,2.173,0.326,0.312,0.338,1.303,1.586,1.585,0.219,0.199,0.228,0.844,0.980,1.039,0.111,0.052,0.115,0.412,0.366,0.517,
2.183,1.845,1.811,3.950,3.571,3.551,0.351,8.064,0.000,18942,541124,0,136.063,110.135,110.068,0.920,0.905,0.938,10.763,8.003,8.331,0.829,0.788,0.855,6.294,5.711,5.942,0.733,0.707,0.764,4.365,4.460,4.617,0.636,0.635,0.662,3.232,3.605,3.650,0.536,0.504,0.560,2.439,2.735,2.896,0.433,0.365,0.454,1.821,1.984,2.231,0.326,0.319,0.344,1.303,1.585,1.633,0.219,0.208,0.231,0.844,1.016,1.072,0.111,0.102,0.116,0.412,0.546,0.528,
2.183,1.873,1.817,3.950,3.591,3.559,0.351,8.846,0.000,18942,562352,0,136.063,110.243,110.311,0.920,0.896,0.939,10.763,7.803,8.430,0.829,0.785,0.856,6.294,5.681,6.014,0.733,0.704,0.763,4.365,4.381,4.663,0.636,0.571,0.664,3.232,3.327,3.697,0.536,0.514,0.560,2.439,2.853,2.917,0.433,0.490,0.450,1.821,2.412,2.244,0.326,0.334,0.338,1.303,1.645,1.628,0.219,0.220,0.227,0.844,1.041,1.071,0.111,0.092,0.114,0.412,0.510,0.532,
2.183,1.840,1.802,3.950,3.583,3.554,0.351,7.439,0.000,18942,536435,0,136.063,110.323,110.153,0.920,0.905,0.932,10.763,8.098,8.194,0.829,0.804,0.845,6.294,5.658,5.839,0.733,0.730,0.754,4.365,4.584,4.567,0.636,0.633,0.655,3.232,3.686,3.621,0.536,0.482,0.554,2.439,2.673,2.863,0.433,0.409,0.448,1.821,2.194,2.202,0.326,0.374,0.339,1.303,1.777,1.611,0.219,0.166,0.228,0.844,0.853,1.054,0.111,0.110,0.115,0.412,0.506,0.526,
2.183,1.881,1.823,3.950,3.590,3.549,0.351,7.709,0.000,18942,526766,0,136.063,110.258,110.036,0.920,0.901,0.938,10.763,7.813,8.287,0.829,0.791,0.854,6.294,5.663,5.939,0.733,0.755,0.760,4.365,4.756,4.595,0.636,0.652,0.661,3.232,3.676,3.642,0.536,0.569,0.556,2.439,3.066,2.869,0.433,0.408,0.451,1.821,2.114,2.211,0.326,0.292,0.339,1.303,1.469,1.604,0.219,0.151,0.228,0.844,0.817,1.051,0.111,0.081,0.114,0.412,0.458,0.519,
2.183,1.883,1.812,3.950,3.585,3.550,0.351,8.222,0.000,18942,526573,0,136.063,110.221,110.082,0.920,0.904,0.935,10.763,7.788,8.203,0.829,0.793,0.849,6.294,5.588,5.870,0.733,0.704,0.757,4.365,4.511,4.572,0.636,0.591,0.657,3.232,3.399,3.621,0.536,0.555,0.552,2.439,2.996,2.843,0.433,0.414,0.447,1.821,2.163,2.191,0.326,0.267,0.340,1.303,1.399,1.605,0.219,0.232,0.226,0.844,1.116,1.045,0.111,0.080,0.113,0.412,0.460,0.519,
2.183,1.868,1.823,3.950,3.582,3.559,0.351,8.415,0.000,18942,534894,0,136.063,110.341,110.245,0.920,0.913,0.938,10.763,8.153,8.332,0.829,0.798,0.855,6.294,5.733,5.974,0.733,0.702,0.762,4.365,4.452,4.632,0.636,0.625,0.658,3.232,3.583,3.660,0.536,0.509,0.556,2.439,2.765,2.891,0.433,0.453,0.451,1.821,2.288,2.231,0.326,0.266,0.339,1.303,1.415,1.618,0.219,0.195,0.228,0.844,1.018,1.059,0.111,0.126,0.114,0.412,0.588,0.526,
2.183,1.862,1.806,3.950,3.583,3.554,0.351,6.900,0.000,18942,494528,0,136.063,110.181,109.995,0.920,0.898,0.936,10.763,7.729,8.373,0.829,0.781,0.853,6.294,5.615,5.975,0.733,0.680,0.761,4.365,4.364,4.633,0.636,0.619,0.661,3.232,3.525,3.647,0.536,0.505,0.554,2.439,2.797,2.858,0.433,0.397,0.447,1.821,2.054,2.191,0.326,0.349,0.337,1.303,1.691,1.594,0.219,0.209,0.225,0.844,1.030,1.041,0.111,0.078,0.114,0.412,0.429,0.514,
2.183,1.870,1.809,3.950,3.589,3.554,0.351,8.739,0.000,18942,554425,0,136.063,110.190,110.087,0.920,0.910,0.937,10.763,8.042,8.246,0.829,0.814,0.852,6.294,5.827,5.884,0.733,0.673,0.758,4.365,4.223,4.557,0.636,0.614,0.656,3.232,3.521,3.597,0.536,0.520,0.554,2.439,2.801,2.834,0.433,0.437,0.448,1.821,2.251,2.182,0.326,0.358,0.338,1.303,1.666,1.595,0.219,0.177,0.231,0.844,0.903,1.058,0.111,0.123,0.120,0.412,0.538,0.536,
2.183,1.843,1.819,3.950,3.581,3.554,0.351,8.433,0.000,18942,510334,0,136.063,110.251,110.068,0.920,0.914,0.927,10.763,8.155,7.974,0.829,0.815,0.837,6.294,5.795,5.709,0.733,0.710,0.740,4.365,4.459,4.430,0.636,0.636,0.641,3.232,3.621,3.521,0.536,0.543,0.540,2.439,2.893,2.777,0.433,0.431,0.436,1.821,2.257,2.131,0.326,0.304,0.330,1.303,1.571,1.555,0.219,0.251,0.221,0.844,1.133,1.020,0.111,0.103,0.111,0.412,0.515,0.509,
2.183,1.837,1.810,3.950,3.576,3.555,0.351,7.298,0.000,18942,473110,0,136.063,110.229,109.907,0.920,0.897,0.929,10.763,7.828,8.164,0.829,0.829,0.838,6.294,5.987,5.827,0.733,0.692,0.744,4.365,4.314,4.524,0.636,0.644,0.645,3.232,3.689,3.580,0.536,0.539,0.540,2.439,2.839,2.821,0.433,0.406,0.431,1.821,2.099,2.157,0.326,0.299,0.323,1.303,1.484,1.560,0.219,0.266,0.214,0.844,1.190,1.016,0.111,0.098,0.107,0.412,0.465,0.496,
2.183,1.844,1.803,3.950,3.580,3.549,0.351,8.115,0.000,18942,498516,0,136.063,110.369,109.952,0.920,0.911,0.936,10.763,8.011,8.215,0.829,0.811,0.851,6.294,5.793,5.879,0.733,0.741,0.757,4.365,4.645,4.560,0.636,0.642,0.658,3.232,3.709,3.614,0.536,0.477,0.553,2.439,2.580,2.835,0.433,0.456,0.447,1.821,2.262,2.181,0.326,0.299,0.339,1.303,1.537,1.596,0.219,0.203,0.228,0.844,0.978,1.048,0.111,0.110,0.114,0.412,0.521,0.521,
2.183,1.875,1.817,3.950,3.597,3.550,0.351,9.139,0.000,18942,555076,0,136.063,110.261,109.822,0.920,0.903,0.923,10.763,8.091,7.913,0.829,0.767,0.828,6.294,5.476,5.636,0.733,0.678,0.731,4.365,4.344,4.389,0.636,0.599,0.626,3.232,3.446,3.463,0.536,0.508,0.525,2.439,2.794,2.730,0.433,0.404,0.423,1.821,2.128,2.097,0.326,0.300,0.316,1.303,1.489,1.522,0.219,0.239,0.212,0.844,1.096,0.997,0.111,0.090,0.105,0.412,0.516,0.492,
2.183,1.879,1.805,3.950,3.590,3.553,0.351,8.552,0.000,18942,546444,0,136.063,110.183,109.840,0.920,0.914,0.933,10.763,8.017,8.184,0.829,0.793,0.844,6.294,5.553,5.833,0.733,0.668,0.749,4.365,4.167,4.534,0.636,0.592,0.651,3.232,3.487,3.601,0.536,0.487,0.547,2.439,2.678,2.842,0.433,0.447,0.441,1.821,2.265,2.178,0.326,0.281,0.330,1.303,1.449,1.569,0.219,0.257,0.223,0.844,1.164,1.033,0.111,0.110,0.110,0.412,0.548,0.501,
2.183,1.844,1.818,3.950,3.577,3.553,0.351,6.752,0.000,18942,456754,0,136.063,110.134,110.064,0.920,0.918,0.936,10.763,8.300,8.358,0.829,0.818,0.850,6.294,5.770,5.962,0.733,0.692,0.756,4.365,4.426,4.620,0.636,0.643,0.658,3.232,3.694,3.662,0.536,0.508,0.555,2.439,2.766,2.884,0.433,0.448,0.449,1.821,2.229,2.219,0.326,0.321,0.339,1.303,1.575,1.615,0.219,0.170,0.227,0.844,0.865,1.053,0.111,0.117,0.114,0.412,0.577,0.524,
2.183,1.838,1.809,3.950,3.571,3.553,0.351,8.176,0.000,18942,553094,0,136.063,110.284,109.992,0.920,0.894,0.929,10.763,7.787,8.052,0.829,0.797,0.840,6.294,5.519,5.752,0.733,0.669,0.743,4.365,4.275,4.461,0.636,0.632,0.643,3.232,3.638,3.541,0.536,0.532,0.542,2.439,2.885,2.798,0.433,0.418,0.440,1.821,2.127,2.161,0.326,0.293,0.332,1.303,1.493,1.578,0.219,0.233,0.223,0.844,1.089,1.038,0.111,0.101,0.112,0.412,0.533,0.520,