MAE_MC,RMSE_MC,C_LOSS_MC,CROSSES_MC,T_LOSS_MC,ICP_MC,MIL_MC,ICP_MC,MIL_MC,ICP_MC,MIL_MC,ICP_MC,MIL_MC,ICP_MC,MIL_MC
1.859,3.590,0.000,0,67.503,0.937,10.624,0.905,8.277,0.830,5.436,0.701,3.387,0.437,1.636
1.845,3.578,0.000,0,67.263,0.938,10.637,0.906,8.288,0.832,5.443,0.703,3.391,0.441,1.638
1.861,3.593,0.000,0,67.823,0.938,10.744,0.906,8.371,0.831,5.497,0.704,3.425,0.440,1.655
1.896,3.599,0.000,0,68.298,0.938,10.835,0.907,8.442,0.831,5.544,0.695,3.454,0.421,1.669
1.867,3.586,0.000,0,68.027,0.937,10.809,0.906,8.422,0.831,5.531,0.703,3.446,0.441,1.665
1.870,3.587,0.000,0,68.143,0.937,10.837,0.906,8.444,0.832,5.545,0.704,3.455,0.440,1.669
1.899,3.596,0.000,0,68.533,0.938,10.887,0.906,8.482,0.830,5.571,0.695,3.471,0.425,1.677
1.838,3.575,0.000,0,67.147,0.938,10.636,0.907,8.287,0.833,5.442,0.705,3.391,0.442,1.638
1.883,3.592,0.000,0,68.572,0.938,10.968,0.908,8.545,0.833,5.612,0.703,3.497,0.438,1.689
1.889,3.597,0.000,0,68.505,0.936,10.870,0.906,8.469,0.830,5.562,0.699,3.466,0.433,1.674
1.846,3.583,0.000,0,67.196,0.938,10.596,0.906,8.255,0.831,5.422,0.702,3.378,0.439,1.632
1.892,3.596,0.000,0,68.205,0.936,10.741,0.904,8.368,0.827,5.496,0.693,3.424,0.425,1.654
1.841,3.581,0.000,0,67.786,0.939,10.843,0.907,8.448,0.836,5.548,0.711,3.457,0.453,1.670
1.892,3.593,0.000,0,68.574,0.938,10.951,0.908,8.533,0.833,5.603,0.700,3.491,0.431,1.687
1.854,3.580,0.000,0,67.766,0.938,10.793,0.907,8.409,0.833,5.522,0.707,3.441,0.444,1.662
1.854,3.581,0.000,0,67.466,0.937,10.668,0.907,8.311,0.832,5.458,0.702,3.401,0.436,1.643
1.882,3.590,0.000,0,68.309,0.936,10.800,0.905,8.415,0.831,5.526,0.700,3.443,0.433,1.663
1.906,3.598,0.000,0,68.737,0.939,10.964,0.908,8.543,0.832,5.610,0.695,3.496,0.421,1.689
1.863,3.590,0.000,0,68.056,0.938,10.832,0.906,8.439,0.832,5.542,0.705,3.453,0.443,1.668
1.855,3.585,0.000,0,67.492,0.938,10.697,0.907,8.334,0.833,5.473,0.702,3.410,0.436,1.648
1.901,3.599,0.000,0,68.557,0.938,10.899,0.907,8.492,0.830,5.577,0.695,3.475,0.425,1.679
1.861,3.594,0.000,0,67.679,0.937,10.678,0.906,8.319,0.830,5.463,0.700,3.404,0.437,1.645
1.885,3.591,0.000,0,68.673,0.938,10.999,0.907,8.570,0.833,5.628,0.703,3.507,0.439,1.694
1.876,3.595,0.000,0,68.406,0.937,10.865,0.906,8.465,0.831,5.559,0.703,3.464,0.442,1.673
1.868,3.592,0.000,0,67.668,0.936,10.625,0.904,8.278,0.827,5.436,0.697,3.387,0.433,1.636
1.900,3.607,0.000,0,69.067,0.937,11.014,0.906,8.581,0.830,5.635,0.701,3.511,0.437,1.696
1.861,3.588,0.000,0,67.970,0.937,10.807,0.906,8.420,0.832,5.530,0.705,3.445,0.443,1.665
1.884,3.599,0.000,0,68.393,0.938,10.904,0.908,8.496,0.832,5.579,0.698,3.476,0.434,1.679
1.886,3.594,0.000,0,68.008,0.938,10.782,0.907,8.401,0.832,5.517,0.697,3.438,0.422,1.661
1.904,3.611,0.000,0,69.292,0.939,11.107,0.907,8.654,0.832,5.683,0.702,3.541,0.438,1.711