MAE_QR,MAE_DL,MAE_MULTI,RMSE_QR,RMSE_DL,RMSE_MULTI,C_LOSS_QR,C_LOSS_DL,C_LOSS_MULTI,CROSSES_QR,CROSSES_DL,CROSSES_MULTI,T_LOSS_QR,T_LOSS_DL,T_LOSS_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI
6.164,5.970,5.891,8.800,8.592,8.511,1.578,183.946,0.001,35840,302791,44,3078.867,2852.201,2852.997,0.849,0.906,0.893,28.493,25.233,24.962,0.739,0.810,0.794,19.992,18.646,17.907,0.550,0.591,0.598,11.649,11.565,10.909,0.364,0.410,0.388,6.651,7.114,6.582,0.183,0.218,0.188,3.026,3.827,3.144
6.164,6.000,5.869,8.800,8.609,8.458,1.578,202.538,0.000,35840,303120,324,3078.867,2850.518,2838.466,0.849,0.892,0.898,28.493,24.066,25.339,0.739,0.822,0.800,19.992,19.053,18.031,0.550,0.611,0.599,11.649,11.695,10.958,0.364,0.408,0.383,6.651,6.915,6.598,0.183,0.182,0.188,3.026,3.187,3.138
6.164,5.920,5.907,8.800,8.541,8.527,1.578,167.512,0.008,35840,278315,45,3078.867,2856.737,2863.521,0.849,0.899,0.905,28.493,24.839,26.328,0.739,0.814,0.813,19.992,18.613,18.742,0.550,0.606,0.622,11.649,11.568,11.328,0.364,0.418,0.409,6.651,7.381,6.794,0.183,0.214,0.198,3.026,3.837,3.236
6.164,5.890,5.944,8.800,8.521,8.596,1.578,161.576,0.009,35840,294867,82,3078.867,2851.451,2875.287,0.849,0.901,0.905,28.493,24.997,26.042,0.739,0.799,0.813,19.992,18.267,18.655,0.550,0.598,0.618,11.649,11.841,11.358,0.364,0.406,0.401,6.651,7.470,6.829,0.183,0.217,0.196,3.026,3.927,3.261
6.164,6.009,5.906,8.800,8.609,8.516,1.578,168.853,0.000,35840,292731,61,3078.867,2856.143,2858.661,0.849,0.905,0.909,28.493,25.291,26.568,0.739,0.817,0.817,19.992,18.849,19.007,0.550,0.582,0.631,11.649,10.912,11.527,0.364,0.414,0.426,6.651,7.343,6.928,0.183,0.234,0.210,3.026,3.527,3.300
6.164,6.043,5.866,8.800,8.682,8.448,1.578,135.088,0.001,35840,262548,42,3078.867,2856.222,2833.577,0.849,0.903,0.905,28.493,25.822,25.836,0.739,0.821,0.813,19.992,19.324,18.593,0.550,0.602,0.629,11.649,11.747,11.387,0.364,0.405,0.427,6.651,7.375,6.841,0.183,0.209,0.214,3.026,3.598,3.265
6.164,5.911,5.912,8.800,8.506,8.539,1.578,209.530,0.001,35840,332565,675,3078.867,2849.741,2855.708,0.849,0.891,0.897,28.493,24.298,25.465,0.739,0.805,0.798,19.992,18.332,18.308,0.550,0.623,0.598,11.649,11.891,11.210,0.364,0.389,0.393,6.651,6.973,6.795,0.183,0.224,0.198,3.026,3.612,3.255
6.164,5.948,5.886,8.800,8.560,8.490,1.578,169.577,0.003,35840,284189,686,3078.867,2851.473,2848.035,0.849,0.904,0.901,28.493,25.029,25.898,0.739,0.792,0.804,19.992,18.038,18.462,0.550,0.604,0.611,11.649,11.758,11.220,0.364,0.431,0.410,6.651,7.588,6.697,0.183,0.199,0.210,3.026,2.929,3.186
6.164,5.934,5.905,8.800,8.547,8.526,1.578,153.548,0.001,35840,268585,254,3078.867,2856.255,2860.964,0.849,0.910,0.886,28.493,25.708,24.223,0.739,0.817,0.781,19.992,18.511,17.213,0.550,0.596,0.567,11.649,11.529,10.375,0.364,0.394,0.365,6.651,7.037,6.261,0.183,0.209,0.180,3.026,3.568,3.008
6.164,5.982,5.894,8.800,8.619,8.517,1.578,147.109,0.000,35840,282361,183,3078.867,2847.991,2858.223,0.849,0.899,0.898,28.493,24.690,25.574,0.739,0.799,0.800,19.992,17.818,18.222,0.550,0.576,0.603,11.649,10.944,11.058,0.364,0.410,0.393,6.651,6.914,6.699,0.183,0.197,0.192,3.026,3.156,3.211
6.164,5.898,5.894,8.800,8.520,8.538,1.578,146.387,0.000,35840,265136,296,3078.867,2845.663,2853.521,0.849,0.902,0.898,28.493,25.077,25.574,0.739,0.805,0.800,19.992,18.004,18.252,0.550,0.594,0.605,11.649,11.113,11.042,0.364,0.403,0.401,6.651,7.152,6.632,0.183,0.206,0.199,3.026,3.636,3.175
6.164,5.900,5.901,8.800,8.514,8.512,1.578,196.177,0.002,35840,309937,1913,3078.867,2855.144,2848.027,0.849,0.898,0.892,28.493,24.969,24.639,0.739,0.814,0.790,19.992,19.066,17.687,0.550,0.617,0.586,11.649,11.981,10.786,0.364,0.421,0.382,6.651,7.285,6.500,0.183,0.199,0.190,3.026,3.752,3.088
6.164,5.939,5.927,8.800,8.545,8.581,1.578,173.933,0.000,35840,294512,317,3078.867,2854.028,2869.632,0.849,0.904,0.896,28.493,25.327,25.215,0.739,0.812,0.797,19.992,18.654,18.025,0.550,0.610,0.599,11.649,11.729,11.012,0.364,0.409,0.392,6.651,7.325,6.658,0.183,0.223,0.191,3.026,3.446,3.161
6.164,5.906,5.895,8.800,8.523,8.496,1.578,178.730,0.000,35840,320569,141,3078.867,2848.587,2850.275,0.849,0.894,0.904,28.493,24.401,25.930,0.739,0.803,0.811,19.992,18.305,18.601,0.550,0.585,0.625,11.649,10.980,11.318,0.364,0.406,0.423,6.651,7.048,6.812,0.183,0.217,0.215,3.026,3.420,3.235
6.164,5.940,5.949,8.800,8.545,8.566,1.578,221.135,0.003,35840,343595,805,3078.867,2862.812,2869.837,0.849,0.892,0.893,28.493,24.270,25.172,0.739,0.802,0.791,19.992,18.514,17.896,0.550,0.603,0.584,11.649,12.012,10.838,0.364,0.420,0.378,6.651,7.450,6.581,0.183,0.216,0.188,3.026,3.762,3.146
6.164,5.982,5.939,8.800,8.605,8.527,1.578,158.306,0.001,35840,297056,505,3078.867,2853.407,2858.522,0.849,0.904,0.902,28.493,25.262,26.013,0.739,0.811,0.805,19.992,18.726,18.545,0.550,0.577,0.605,11.649,11.398,11.214,0.364,0.427,0.400,6.651,7.916,6.731,0.183,0.219,0.202,3.026,3.725,3.225
6.164,5.992,5.926,8.800,8.607,8.548,1.578,180.266,0.003,35840,304425,560,3078.867,2852.304,2854.575,0.849,0.901,0.897,28.493,24.734,25.364,0.739,0.807,0.798,19.992,18.261,18.058,0.550,0.600,0.599,11.649,11.657,10.953,0.364,0.442,0.400,6.651,7.781,6.587,0.183,0.210,0.201,3.026,3.588,3.151
6.164,5.989,5.914,8.800,8.593,8.540,1.578,178.729,0.001,35840,288089,453,3078.867,2848.329,2858.817,0.849,0.896,0.891,28.493,24.217,24.916,0.739,0.788,0.788,19.992,18.014,17.825,0.550,0.613,0.573,11.649,11.606,10.830,0.364,0.412,0.365,6.651,7.396,6.543,0.183,0.203,0.180,3.026,3.656,3.137
6.164,5.974,5.930,8.800,8.635,8.563,1.578,166.514,0.001,35840,276875,559,3078.867,2846.595,2860.446,0.849,0.902,0.891,28.493,25.034,24.494,0.739,0.798,0.789,19.992,18.166,17.626,0.550,0.615,0.585,11.649,11.696,10.679,0.364,0.426,0.376,6.651,7.570,6.450,0.183,0.204,0.182,3.026,3.372,3.078
6.164,5.915,5.888,8.800,8.517,8.479,1.578,178.015,0.001,35840,300647,1027,3078.867,2853.618,2840.072,0.849,0.897,0.903,28.493,25.176,25.784,0.739,0.791,0.806,19.992,17.487,18.544,0.550,0.632,0.589,11.649,12.227,11.304,0.364,0.403,0.380,6.651,7.437,6.888,0.183,0.214,0.188,3.026,3.319,3.320
6.164,5.948,5.911,8.800,8.548,8.525,1.578,177.327,0.000,35840,286412,444,3078.867,2853.008,2857.084,0.849,0.900,0.900,28.493,25.256,25.633,0.739,0.794,0.805,19.992,17.872,18.390,0.550,0.619,0.601,11.649,11.714,11.218,0.364,0.417,0.392,6.651,7.441,6.771,0.183,0.182,0.193,3.026,3.030,3.225
6.164,5.925,5.891,8.800,8.546,8.518,1.578,134.195,0.001,35840,261230,469,3078.867,2849.452,2862.542,0.849,0.901,0.910,28.493,24.995,26.957,0.739,0.806,0.822,19.992,18.194,19.394,0.550,0.598,0.635,11.649,11.570,11.881,0.364,0.412,0.426,6.651,7.310,7.153,0.183,0.222,0.213,3.026,3.909,3.383
6.164,5.978,5.911,8.800,8.562,8.543,1.578,152.619,0.000,35840,273646,239,3078.867,2852.512,2855.138,0.849,0.905,0.902,28.493,25.380,25.660,0.739,0.810,0.807,19.992,18.696,18.449,0.550,0.627,0.602,11.649,11.913,11.264,0.364,0.401,0.385,6.651,6.995,6.836,0.183,0.229,0.189,3.026,3.721,3.263
6.164,5.944,5.890,8.800,8.575,8.511,1.578,160.966,0.000,35840,290662,417,3078.867,2848.860,2857.162,0.849,0.898,0.906,28.493,24.766,26.506,0.739,0.804,0.811,19.992,18.439,18.823,0.550,0.624,0.612,11.649,12.230,11.386,0.364,0.408,0.401,6.651,7.066,6.869,0.183,0.213,0.201,3.026,3.585,3.247
6.164,6.006,5.914,8.800,8.652,8.489,1.578,190.882,0.000,35840,329322,43,3078.867,2855.419,2845.726,0.849,0.892,0.903,28.493,24.632,26.115,0.739,0.811,0.809,19.992,18.687,18.717,0.550,0.601,0.622,11.649,11.094,11.390,0.364,0.399,0.425,6.651,6.875,6.883,0.183,0.218,0.217,3.026,3.614,3.298
6.164,5.970,5.913,8.800,8.598,8.544,1.578,154.976,0.000,35840,243514,128,3078.867,2858.482,2857.942,0.849,0.906,0.900,28.493,25.108,25.304,0.739,0.801,0.805,19.992,18.406,18.202,0.550,0.627,0.608,11.649,11.836,11.139,0.364,0.417,0.393,6.651,7.356,6.753,0.183,0.198,0.188,3.026,3.320,3.238
6.164,6.005,5.960,8.800,8.614,8.547,1.578,167.209,0.010,35840,280999,48,3078.867,2850.468,2862.433,0.849,0.902,0.900,28.493,25.000,25.999,0.739,0.808,0.806,19.992,18.503,18.627,0.550,0.625,0.621,11.649,11.635,11.305,0.364,0.417,0.424,6.651,7.123,6.819,0.183,0.228,0.213,3.026,3.470,3.275
6.164,5.931,5.973,8.800,8.517,8.629,1.578,165.616,0.000,35840,290683,30,3078.867,2844.980,2892.185,0.849,0.900,0.900,28.493,24.932,25.525,0.739,0.812,0.806,19.992,18.640,18.297,0.550,0.619,0.615,11.649,12.145,11.132,0.364,0.402,0.404,6.651,7.385,6.719,0.183,0.221,0.196,3.026,3.412,3.210
6.164,6.069,5.962,8.800,8.748,8.543,1.578,158.005,0.002,35840,306510,1246,3078.867,2849.157,2859.582,0.849,0.895,0.902,28.493,24.973,26.692,0.739,0.819,0.804,19.992,19.108,19.049,0.550,0.614,0.601,11.649,11.738,11.531,0.364,0.410,0.401,6.651,7.375,6.935,0.183,0.215,0.204,3.026,3.353,3.314